,Stock,Price,Volume,20SMA,50SMA,RSI,compare
101,TPIPL,1.7200000286102295,5145800.0,1.713000011444092,1.8244000029563905,46.35,True
102,UMI,1.3799999952316284,16557100.0,1.406000018119812,1.4682000041007994,46.99,True
103,WIIK,2.440000057220459,6684100.0,2.4430000543594366,2.504400005340576,47.57,True
105,ANAN,1.5800000429153442,4706300.0,1.787000006437302,2.00379998922348,21.27,True
108,AWC,3.880000114440918,33117900.0,3.865999972820282,4.327400002479553,44.73,True
109,BLAND,1.0199999809265137,7191300.0,1.06700000166893,1.104799997806549,33.14,True
110,BROCK,1.559999942779541,2200.0,1.606500005722046,1.6430000066757202,43.45,True
111,CGD,0.4699999988079071,26425600.0,0.5314999982714653,0.6147999984025956,29.74,True
112,CI,0.7900000214576721,716800.0,0.8414999991655352,0.9269999945163727,38.18,True
113,ESTAR,0.550000011920929,2919400.0,0.5634999990463256,0.603400001525879,41.29,True
114,EVER,0.3199999928474426,3850300.0,0.33400000482797626,0.3670000004768372,39.46,True
115,GLAND,2.140000104904175,2800.0,2.1580000162124637,2.1800000095367436,44.69,True
116,J,2.640000104904175,6730600.0,2.7719999670982367,2.9883999967575074,39.37,True
117,JCK,1.0700000524520874,3875900.0,1.1160000145435336,1.165999999046326,39.26,True
119,LPN,4.900000095367432,1859700.0,4.906000089645386,5.116400060653687,43.52,True
120,MJD,1.8300000429153442,350100.0,1.9000000000000004,1.9655999803543092,39.11,True
121,MK,3.0799999237060547,67400.0,3.0879999160766607,3.107599954605102,46.7,True
122,NCH,1.2899999618530273,2119600.0,1.3974999785423277,1.5501999950408936,32.31,True
123,NNCL,2.440000057220459,916200.0,2.4040000200271607,2.542400012016296,49.48,True
124,NUSA,0.4099999964237213,12883900.0,0.38699999898672105,0.41179999768733977,55.44,True
125,NVD,2.5,934600.0,2.5029999971389767,2.6079999780654908,46.25,True
127,PF,0.4300000071525574,2998000.0,0.4454999968409539,0.4715999948978423,30.78,True
128,PLAT,2.7799999713897705,628000.0,2.8539999842643735,3.0379999780654914,37.4,True
130,PRECHA,1.0499999523162842,314000.0,1.1245000004768373,1.1890000128746032,38.84,True
131,PRIN,2.2200000286102295,507900.0,2.1209999680519105,2.1855999708175657,58.37,True
132,QH,2.200000047683716,32134700.0,2.2100000381469727,2.265600004196167,40.94,True
133,RICHY,1.0399999618530273,1899200.0,1.0600000083446504,1.124600005149841,43.1,True
134,RML,0.8999999761581421,3767500.0,0.9220000028610229,0.9492000019550324,45.59,True
135,S,1.8899999856948853,3476000.0,1.9285000026226042,2.0893999886512757,40.31,True
136,SAMCO,1.4800000190734863,548800.0,1.538000011444092,1.701200008392334,35.85,True
137,SC,3.0,1501100.0,3.0189999818801883,3.099199976921082,42.6,True
138,SENA,3.819999933242798,463800.0,3.8789999723434456,4.04959994316101,38.04,True
139,SIRI,1.1699999570846558,87074700.0,1.1784999907016755,1.2741999912261963,44.89,True
140,U,0.8899999856948853,38447900.0,0.9150000095367431,0.9514000022411346,47.22,True
141,UV,4.019999980926514,6049200.0,3.914999973773957,3.9980000019073483,52.95,True
142,WHA,3.0399999618530273,26032700.0,3.0869999647140505,3.1619999742507936,42.29,True
144,BJCHI,1.909999966621399,475200.0,1.9269999861717226,2.049999990463257,46.12,True
145,BKD,2.2799999713897705,170500.0,2.2340000152587893,2.2703999853134156,54.27,True
146,CNT,1.7699999809265137,40500.0,1.8219999969005587,1.991600003242493,39.51,True
147,EMC,0.25,17227200.0,0.26949999779462813,0.29079999804496764,29.45,True
148,ITD,2.0799999237060547,9500200.0,2.1679999947547914,2.4183999967575067,40.02,True
149,NWR,1.0199999809265137,29328600.0,1.0174999982118607,1.1230000007152556,48.01,True
150,PLE,0.8100000023841858,1962100.0,0.8265000015497207,0.9153999948501587,39.49,True
151,PYLON,4.179999828338623,116500.0,4.213999891281128,4.468799991607666,42.2,True
152,RT,2.200000047683716,4349100.0,2.3009999990463257,2.421599998474121,35.96,True
153,SEAFCO,4.539999961853027,834200.0,4.475000023841858,4.706200027465821,50.62,True
154,SQ,2.299999952316284,42236700.0,2.521999990940093,2.683600006103516,38.82,True
155,STPI,4.099999904632568,2514100.0,4.305999946594239,4.542599964141846,39.44,True
156,SYNTEC,1.850000023841858,2667900.0,1.9069999933242798,2.0383999848365786,41.31,True
157,TEAMG,2.259999990463257,1688600.0,2.28699996471405,2.334400000572204,45.58,True
158,TPOLY,1.899999976158142,464000.0,1.9614999890327454,2.1138000011444094,32.94,True
159,TRC,0.10999999940395355,2468200.0,0.12299999669194223,0.1351999995112419,39.7,True
160,TRITN,0.25999999046325684,37310900.0,0.25499999821186065,0.2775999999046325,48.15,True
161,TTCL,3.819999933242798,1658000.0,3.9209999680519108,4.381200008392335,37.07,True
162,WGE,1.6699999570846558,1090600.0,1.7504999935626986,1.951400001049042,38.18,True
164,ABPIF,2.5,32800.0,2.48600001335144,2.487600011825561,53.92,True
165,ACC,0.8399999737739563,4178900.0,0.9059999942779543,0.9397999966144563,37.7,True
167,AGE,3.5,31068300.0,3.2649999976158144,3.477200002670288,56.78,True
168,AI,2.059999942779541,16468300.0,2.0494999647140504,2.187399983406067,45.83,True
169,AKR,1.0,6057900.0,1.0189999848604203,1.0407999742031095,45.33,True
170,ETC,2.940000057220459,35138100.0,2.987000000476837,3.0632000064849856,45.16,True
173,IRPC,3.619999885559082,117261600.0,3.587999975681305,3.8055999803543092,47.64,True
174,PRIME,1.9700000286102295,17253900.0,1.9714999973773957,2.1582000017166134,45.15,True
175,RPC,0.8600000143051147,2788900.0,0.8820000022649765,0.9429999959468842,43.24,True
177,SCI,1.8300000429153442,1840300.0,2.071999996900559,2.108399994373322,31.72,True
178,SCN,2.640000104904175,33384700.0,2.6800000309944156,2.829200005531311,44.82,True
179,SKE,1.0399999618530273,8488500.0,1.0744999945163727,1.084799997806549,44.27,True
181,SUPER,0.9399999976158142,297970700.0,0.9190000176429749,0.9424000072479248,58.27,True
182,SUSCO,3.0399999618530273,88400.0,3.0859999775886533,3.1727999973297116,41.02,True
183,TAE,2.359999895095825,3940600.0,2.5150000095367435,2.5792000150680545,35.93,True
185,TPIPP,4.380000114440918,4240000.0,4.364000129699708,4.4092000865936285,49.97,True
