,Stock,Price,Volume,5EMA,15EMA,35EMA,200EMA,RSI,compare
121,NUSA,0.4099999964237213,96771900.0,0.39804028572857,0.39870410035596815,0.3917589660959786,0.34366542931693783,55.73,True
122,NVD,2.4600000381469727,86300.0,2.4777190067738033,2.4873906416996086,2.4955858999877703,2.341248141246065,45.01,True
123,PACE,0.029999999329447746,0.0,0.029999999329447746,0.02999999932944775,0.02999999932944774,0.02999999932944774,,True
127,PRECHA,1.0499999523162842,595300.0,1.0107367351977756,1.0308860945569358,1.0990642181473904,0.9785387642834159,48.83,True
142,BKD,2.200000047683716,202100.0,2.215279335523042,2.2222422280200167,2.2262146816132677,2.0396133540189787,45.76,True
150,SQ,2.319999933242798,4493000.0,2.2740218556091603,2.3649271710155397,2.4483529847843286,2.1026950354999814,45.68,True
161,ACE,4.179999828338623,46977200.0,4.14559074354578,4.1812600102707345,3.993567887392455,3.6271329184043326,58.97,True
162,AGE,2.9200000762939453,15723600.0,2.844656465504811,3.038245577866426,3.1614191852755313,2.285256352827908,45.99,True
165,ETC,2.740000009536743,19875800.0,2.690789672505244,2.80109499601198,2.92278386421556,2.477912287083241,42.88,True
173,SCN,2.619999885559082,1731000.0,2.5941804573397786,2.5967448035985363,2.67424599159803,2.1367571705660815,48.37,True
175,SOLAR,2.1600000858306885,18357100.0,2.1822445759045515,2.2353661564910587,1.8954411087596346,1.4502256394579378,53.91,True
178,TAE,2.380000114440918,614800.0,2.3943009734031344,2.395671626267474,2.479176632678465,2.4123702096363746,43.94,True
180,TPIPP,4.320000171661377,9422200.0,4.246341674658827,4.320956079509415,4.335041077645986,4.378289594227043,50.63,True
183,B52,0.6000000238418579,1205500.0,0.6049806177328263,0.6071527612790608,0.6150173360038138,0.4128718725317078,44.93,True
194,CHG,3.759999990463257,85266000.0,3.770686649076721,3.9477682035953134,4.071738157390749,2.947245033710746,39.71,True
195,CMR,3.700000047683716,7005900.0,3.591263889153381,3.619359748124319,3.4476979387269844,2.133343715033227,61.54,True
197,VIBHA,2.240000009536743,13448600.0,2.221449165181267,2.267866959727662,2.3787510953296347,1.8404727260009779,43.73,True
198,WPH,2.1600000858306885,210500.0,2.1293908979916485,2.1498967271792435,2.2022892365599813,1.8871188285862295,50.81,True
200,GPI,1.8899999856948853,500300.0,1.8886536837358305,1.9159066077905602,2.052283845919807,1.626212094123066,44.99,True
202,MATCH,1.6799999475479126,82000.0,1.6595966996430447,1.66688987455485,1.5977499443420562,1.602383968130287,55.33,True
213,GRAND,0.5400000214576721,13474400.0,0.52538121716651,0.5260000246002027,0.5299786326985387,0.5693884084256005,56.58,True
216,ASIMAR,2.6600000858306885,809100.0,2.670939667574758,2.6957811469739554,2.792767730021935,2.0717439312596024,45.28,True
219,JUTHA,1.4500000476837158,1965300.0,1.3775418998625344,1.4174158348679926,1.2232429658368045,0.9582853535647893,60.97,True
221,NYT,4.360000133514404,18944600.0,4.256778104075479,4.593723963620837,4.658483867304969,3.8885445802724963,43.5,True
222,PORT,2.7200000286102295,634500.0,2.735818971929308,2.741850944199822,2.823052712737465,2.9681311174705844,42.47,True
224,CCET,2.7200000286102295,2919200.0,2.6667532931977576,2.7546917676594975,3.1018358207734096,2.509564503242258,41.47,True
226,ALT,2.680000066757202,2207400.0,2.6947004019984884,2.695381024425497,2.7446108070659174,3.1826761396068655,46.75,True
228,INET,4.159999847412109,4971300.0,4.174407962404501,4.249768795299643,4.368398102380264,3.9224794287671547,45.14,True
231,SVOA,1.9299999475479126,22229100.0,1.913132928775401,1.9722917946847183,2.090249308891901,1.6496591517866248,45.19,True
