,Stock,Price,Volume,5EMA,20EMA,50EMA,100EMA,200EMA,RSI,compare
58,KKC,1.1100000143051147,3728800.0,1.2087218920606906,1.3181736841984881,1.224240465461621,1.0467292801425974,0.7645302467359895,38.88,True
61,TCJ,4.0,72500.0,4.086497841094228,4.319240668220014,4.604627393737824,4.62642037700677,3.7764198354842513,26.0,True
63,CMAN,2.4600000381469727,211900.0,2.47132159575691,2.486176050465247,2.661551593238888,2.3993207226436053,1.779247291455531,44.86,True
64,GIFT,2.299999952316284,81800.0,2.3285625168673896,2.5009838061214733,2.396233621743251,2.333868977843178,2.0790269840604414,42.5,True
66,SUTHA,4.639999866485596,94200.0,4.704096443773593,4.6760048978333275,4.835208363987653,4.583659810006514,4.10137826481996,44.02,True
67,UAC,4.940000057220459,512400.0,4.993171088534962,4.9764917655707395,5.065025007442818,4.983412904676039,4.434314289581201,46.24,True
69,NEP,0.38999998569488525,210100.0,0.40073987316025467,0.3912647203882352,0.4014146453341024,0.4024206393422027,0.3075081816391861,47.82,True
70,SITHAI,1.409999966621399,3344200.0,1.409999966621399,1.4833117774435907,1.3876871746052744,1.0661476821953397,0.8107613647206133,47.55,True
71,SLP,0.8199999928474426,2935900.0,0.8821877752218307,0.9316612658675836,0.8321148579424706,0.7604182135585992,0.5812292136478484,41.32,True
72,SPACK,2.9000000953674316,3982300.0,3.1239101906078135,3.289885689210664,3.1342083147024877,3.0082439852623497,2.8105195053031475,36.65,True
73,TFI,0.23999999463558197,14371800.0,0.2488594921506702,0.2550345090381328,0.2658680993591705,0.2751363911076916,0.18381268761565706,38.58,True
76,CEN,2.0199999809265137,9740900.0,2.2233118371371225,2.256784187537948,2.109424140563383,1.7397332616277967,1.0593762294147562,40.55,True
77,CITY,2.2200000286102295,100.0,2.227707350956438,2.264381884603713,2.3228139965195997,2.3767138088343764,2.029190794559308,45.39,True
79,GJS,0.3199999928474426,30494100.0,0.3144853241669209,0.3256435063372759,0.35060019843578977,0.32837563653486435,0.21825440474226573,45.64,True
81,INOX,1.1799999475479126,5096900.0,1.2058674742904971,1.2127461218802957,1.1708212132206486,1.0752538803267988,0.7109905664835053,47.73,True
85,SAM,1.2100000381469727,1350900.0,1.2191237695100654,1.2207260044994668,1.2982423867827897,1.1373695607132448,0.7059439820955725,47.83,True
88,TGPRO,0.30000001192092896,4232500.0,0.2911405012041678,0.30036881605335897,0.3256997728022998,0.2865076974317371,0.16643784806829587,48.77,True
90,TSTH,1.649999976158142,5089200.0,1.6576340681701396,1.703096706020871,1.7833951790176605,1.5516826402587482,0.9331377048736658,46.08,True
92,TYCN,3.5,178400.0,3.6692293576073736,3.51619040067202,3.5655188296685654,3.2046594559351655,2.53627073992159,48.13,True
93,CCP,0.5600000023841858,3925100.0,0.5563657104522721,0.574597382843363,0.6284330094151493,0.6268049071755415,0.5179538502818887,42.14,True
94,COTTO,2.640000104904175,6365700.0,2.664211693149643,2.736053505829504,2.639100834915383,2.1786915780512017,1.7077445064900878,47.23,True
95,DCC,3.0799999237060547,9064100.0,3.102704732720019,3.1853153056613843,3.103533896177063,2.925709324498014,2.555671116056092,46.03,True
97,GEL,0.33000001311302185,350200.0,0.3331002302553821,0.3417927371274161,0.3786483875945348,0.3727833099368182,0.2788079668473405,41.2,True
100,UMI,1.3700000047683716,2836800.0,1.3921738395525485,1.4035759034207151,1.4700146256606592,1.3133728025667746,1.0001142071706284,46.5,True
110,CI,0.800000011920929,100400.0,0.7998818749956984,0.8475010004951338,0.958095056563905,0.8445176804573628,0.762257239488229,39.83,True
111,ESTAR,0.5299999713897705,8097400.0,0.5568427241863857,0.5646381863997875,0.6069037986228503,0.5909382786677261,0.4829932869284047,35.76,True
112,EVER,0.3199999928474426,3850300.0,0.32575927718246767,0.3347465980405287,0.3763664964047493,0.38308794491118736,0.28178759295982925,39.46,True
114,J,2.619999885559082,661000.0,2.604327495388468,2.8019461382917026,3.0251942144085615,3.1998393219244914,2.273421612161811,38.66,True
117,LPN,4.900000095367432,1859700.0,4.865540552075904,4.915485480854661,5.177020081292659,5.082780893015745,4.7608282030248334,43.52,True
