Date,Open,High,Low,Close,Adj Close,Volume
2021-03-10,34.25,37.0,34.25,36.5,36.29508590698242,27350000
2021-03-11,37.25,37.75,34.75,35.5,35.30070114135742,23922600
2021-03-12,36.0,37.25,35.75,37.0,36.79228210449219,15765800
2021-03-15,37.75,39.75,37.5,39.25,39.02964782714844,30579200
2021-03-16,38.75,41.0,38.25,39.75,39.52684020996094,25496700
2021-03-17,39.75,40.0,39.0,39.0,38.78105163574219,9385900
2021-03-18,39.75,39.75,38.5,38.5,38.28385925292969,7358700
2021-03-19,38.0,39.25,37.75,38.75,38.53245544433594,7671100
2021-03-22,39.0,39.75,38.25,39.25,39.02964782714844,9215800
2021-03-23,40.0,44.5,40.0,43.5,43.25579071044922,59857400
2021-03-24,43.5,44.0,42.75,43.5,43.25579071044922,14216100
2021-03-25,44.0,44.25,43.0,43.25,43.00719451904297,8294800
2021-03-26,43.5,43.75,42.0,42.25,42.0128059387207,10190200
2021-03-29,42.0,43.25,42.0,42.25,42.0128059387207,7550300
2021-03-30,42.5,43.75,42.25,43.25,43.00719451904297,9780900
2021-03-31,43.25,43.5,42.5,42.75,42.5099983215332,4919300
2021-04-01,43.0,44.0,43.0,43.0,42.75859451293945,9454900
2021-04-02,43.75,44.0,42.25,42.75,42.5099983215332,12127300
2021-04-05,43.0,43.0,41.0,42.25,42.0128059387207,12279600
2021-04-07,42.0,43.25,41.5,42.5,42.26140213012695,8706800
2021-04-08,42.25,43.25,41.75,42.75,42.5099983215332,7746500
2021-04-09,42.5,43.0,42.0,42.25,42.0128059387207,4334100
2021-04-12,41.75,42.0,39.5,39.5,39.27824401855469,16164800
2021-04-16,39.25,41.0,39.0,41.0,40.76982498168945,10748300
2021-04-19,41.75,43.0,41.75,42.75,42.5099983215332,9364100
2021-04-20,42.5,43.5,42.25,42.75,42.75,6280200
2021-04-21,42.75,43.25,42.25,42.5,42.5,3235200
2021-04-22,42.75,43.0,41.75,41.75,41.75,4613200
2021-04-23,41.0,41.75,40.5,40.5,40.5,6073200
2021-04-26,40.75,41.75,39.75,41.25,41.25,4576100
2021-04-27,41.5,41.75,40.75,41.0,41.0,4548900
2021-04-28,41.25,41.5,40.75,40.75,40.75,3399500
