,Symbols,Vol,Avg
349,WACOAL,1700.0,1500.0
350,WGE,3097200.0,11030400.0
351,WHA,91943500.0,161174500.0
352,WHART,548400.0,492360.0
353,WHAUP,6781400.0,8780740.0
354,WICE,26297900.0,56532860.0
355,WIIK,4614200.0,5328760.0
356,WIN,3141400.0,6247320.0
357,WINNER,734500.0,1178960.0
358,YGG,211400.0,213840.0
359,YUASA,60500.0,50480.0
360,ZIGA,9263900.0,10246160.0
