,Symbols,Vol,Avg,Chg
260,TU,24400900,23715080.0,0.8
261,TVD,8121300,5924200.0,-0.02
262,UKEM,87729700,24189620.0,0.08
263,UMS,7963300,275900.0,0.45
264,UP,32800,6720.0,6.7
265,UPA,484237300,33419800.0,0.05
266,UREKA,43779900,1581200.0,0.04
267,UV,48164300,9351840.0,0.58
268,UVAN,713200,489240.0,-0.35
269,UWC,795836700,193311000.0,0.0
270,VNG,1301100,1080140.0,-0.35
271,VRANDA,941900,276060.0,0.35
272,WGE,18978500,11345520.0,0.06
273,WHABT,36700,29540.0,-0.05
274,WHART,674400,474440.0,-0.2
275,WIN,47649200,6704680.0,0.19
276,WP,507900,337560.0,-0.0
277,WPH,460000,304920.0,-0.0
278,XO,5770800,2478540.0,-0.1
279,YGG,229500,212440.0,-0.9
280,YUASA,65800,52640.0,-0.1
