,Symbols,Vol,Avg,Chg
123,MDX,3204700,4538660.0,1.9073486345888568e-07
124,MFC,169000,289080.0,0.0
125,MICRO,8811500,12693660.0,0.1999999999999993
126,MIDA,129194400,73433360.0,0.040000000000000036
127,MK,53100,71640.0,0.020000085830688352
128,MONO,13204400,9889880.0,0.039999961853027344
129,MORE,41798700,22001380.0,0.03999999046325686
130,MVP,26678900,18164640.0,0.6400001335144045
131,NBC,12069800,14192000.0,-0.02999998331069942
132,NC,100,220.0,-0.19999980926513672
133,NCH,9626900,13751160.0,0.010000019073486355
134,NCL,33867900,31557360.0,0.3999999713897706
135,NEWS,431812300,357366360.0,-4.470348362317633e-10
136,NFC,8000,11560.0,-3.814697269177714e-08
137,NVD,1296300,665960.0,-0.02000004768371566
138,PAF,15929800,15809900.0,-0.10000003814697278
139,PATO,57100,46340.0,-0.19999980926513672
140,PB,7600,2560.0,-0.5
141,PDI,3801100,2907540.0,-0.45000019073486364
142,PERM,9091300,6104440.0,-0.15999988555908207
143,PF,159233200,83406480.0,0.019999980926513672
144,PJW,5735200,10255720.0,-0.199999904632568
145,PK,2510800,858760.0,-0.03999992370605465
146,PLAT,1773600,2852120.0,-0.04000008583068837
147,PMTA,41400,30820.0,0.10000019073486399
148,POPF,173500,114100.0,0.09999980926513707
149,PPF,10800,13160.0,1.9073486257070726e-07
150,PPP,216900,355380.0,1.0490417468034252e-07
151,PPPM,9385300,17181840.0,0.0
152,PRAKIT,14300,7340.0,0.05000038146972585
153,PRAPAT,28968100,6196540.0,0.06999996662139885
154,PRM,12122100,20442660.0,-9.536743128535363e-08
155,PROUD,129100,137080.0,0.01000002384185783
156,PSTC,99733900,16520060.0,0.17999989509582504
157,PTG,9640900,11913480.0,-0.10000038146972656
158,Q-CON,278300,275440.0,9.536743128535363e-08
159,QH,16782600,29981580.0,1.1444091807533141e-07
160,QHOP,600,9680.0,-0.08000002861022937
161,RAM,22500,37080.0,-1.0
162,RBF,6452800,5602240.0,-0.3999992370605483
163,RCL,21833000,36194280.0,2.0
164,ROCK,3700,540.0,-1.3000001907348633
165,ROH,2600,340.0,-0.25
166,RPH,371000,353380.0,-0.10000009536743182
167,RSP,5427100,636880.0,0.060000038146972745
168,S11,1609200,1389760.0,9.536743128535363e-08
169,SABUY,11240800,10304720.0,0.8000000000000007
170,SAK,9429600,6748080.0,0.0
171,SAMTEL,436600,608560.0,0.04999990463256854
172,SAUCE,12100,5440.0,0.0
173,SAWAD,7250000,8654100.0,-1.5
174,SBPF,118600,30120.0,0.02000004768371566
175,SE-ED,131300,416060.0,-0.03999999046325664
176,SEAOIL,26250500,1875640.0,0.1200000286102294
177,SF,19876600,26541900.0,0.2999996185302738
178,SFP,300,280.0,1.5
179,SFT,1154600,1432740.0,-0.09999999999999964
180,SGP,20359200,3043180.0,0.899999809265136
181,SHANG,1000,1600.0,1.25
182,SIMAT,17135000,7547120.0,0.2500000953674313
183,SINGER,2993600,3841280.0,-0.5
184,SISB,1555200,983540.0,-0.05000038146972585
185,SITHAI,50452900,75720020.0,0.019999966621399023
186,SLP,6380400,9291420.0,-0.009999988079071098
187,SMK,24400,12480.0,0.0
188,SMT,52699900,26966960.0,0.6500001907348629
189,SNP,1098900,152000.0,0.2000003814697262
190,SO,6861500,1414680.0,1.1999999999999993
191,SOLAR,3120000,1728440.0,-0.050000052452087385
192,SPA,2320900,2018100.0,0.10000019073486399
193,SPCG,5810900,1978300.0,-0.20000076293945312
194,SPVI,2558500,1625760.0,-0.20000019073486364
195,SR,4424100,9326040.0,-0.019999980926513672
196,SSC,800,2460.0,0.0
197,SSF,15400,26440.0,0.20000019073486364
198,SSP,6706400,11816320.0,-0.8000003814697259
199,SSTRT,110000,57620.0,-9.536743128535363e-08
200,STPI,4542700,8132020.0,-0.05999977111816435
201,SUC,75700,55000.0,0.0
202,SVH,2100,740.0,0.0
203,SVI,2960900,4030020.0,-0.039999961853027344
204,SYMC,44500,24600.0,-0.05000019073486328
205,SYNTEC,71089500,19055340.0,-0.06000002861022935
206,TAPAC,7416300,3753260.0,0.40000000000000036
207,TC,897600,546260.0,-0.1000001907348631
208,TCAP,5240600,4458100.0,0.5
209,TCCC,9400,15980.0,-0.25
210,TCMC,7208200,15182360.0,-0.020000000000000018
211,TGH,3900,1360.0,-0.5
212,THANI,125854500,30381680.0,0.19999996185302749
213,THREL,1722200,859720.0,-3.814697269177714e-08
214,TIF1,14300,16660.0,1.9073486257070726e-07
215,TIP,1887500,1252200.0,1.5
216,TIPCO,10663300,3394060.0,0.4000003814697273
217,TISCO,3810200,5715660.0,0.25
218,TLHPF,61000,49080.0,0.0
219,TM,3919300,10279380.0,-0.07999994277954059
220,TMC,233300,747160.0,-0.020000028610229537
221,TMD,15000,8600.0,3.8146972514141453e-07
222,TMILL,968100,942680.0,-0.04000004768371568
223,TMT,1432500,2504740.0,3.8146972691777137e-07
224,TNH,18300,22860.0,0.25
225,TNPF,18100,20140.0,-0.019999980926513672
226,TPA,34200,40460.0,0.049999809265136363
227,TPOLY,36969700,14594000.0,0.03999993324279805
228,TR,10200,17420.0,0.0
229,TRITN,123722300,81406100.0,-0.009999988079071043
230,TRUE,131898800,70679860.0,0.07999995231628398
231,TVD,6419800,3560540.0,0.00999998569488536
232,TVI,303500,214860.0,1.9073486345888568e-07
233,TVT,1270600,3397260.0,0.019999973773956348
234,TWP,36000,94620.0,0.0200000762939454
235,TWPC,1412000,2134540.0,-0.15000009536743164
236,UEC,425800,718180.0,0.009999947547912669
237,UMS,4876500,839160.0,0.4099999523162843
238,UP,4800,54480.0,-1.1000007629394517
239,UPA,351683400,171753440.0,0.00999998569488525
240,UREKA,36429300,15210100.0,0.01999998569488526
241,UV,20170200,22483680.0,0.2799998855590822
242,UWC,708884100,446981440.0,-0.009999999701976778
243,VCOM,1570500,2255720.0,0.05000019073486328
244,VRANDA,580000,496720.0,0.25
245,WACOAL,900,1900.0,-0.25
246,WGE,15917900,11676240.0,-0.04000002861022933
247,WHABT,31300,8240.0,-3.8146972691777137e-07
248,WIN,40505100,26339300.0,0.09999999284744265
249,WP,369100,282240.0,1.9073486345888568e-07
250,WPH,329800,198180.0,-3.814697269177714e-08
251,XO,3584600,8617800.0,-0.10000038146972656
