,Name,Price,Volume,Avg
397,TSE,3.0799999237060547,12478900,60694820.0
398,TSTE,7.0,33400,12060.0
399,TTCL,4.940000057220459,3353800,9719680.0
400,TTLPF,22.899999618530273,6700,3920.0
401,TTW,11.699999809265137,3251000,3802280.0
402,TU,18.0,24095400,23715080.0
403,TVD,1.159999966621399,1950000,5924200.0
404,TWZ,0.11999999731779099,72467800,108058960.0
405,UBIS,6.900000095367432,177800,467140.0
406,UEC,1.690000057220459,1097500,742760.0
407,UKEM,1.1799999475479126,37308200,24189620.0
408,UMS,1.0199999809265137,53800,275900.0
409,UPF,68.25,6600,4560.0
410,UPOIC,6.150000095367432,518000,97660.0
411,UREKA,0.8399999737739563,1849500,1581200.0
412,UTP,21.600000381469727,1842100,3004400.0
413,UVAN,6.75,172700,489240.0
414,VIBHA,2.200000047683716,45489500,32748800.0
415,VIH,9.149999618530273,604500,1078960.0
416,VNG,7.300000190734863,725400,1080140.0
417,VNT,37.75,1050800,798980.0
418,VRANDA,6.650000095367432,256700,276060.0
419,W,3.359999895095825,1833900,1833900.0
420,WACOAL,40.25,1500,1440.0
421,WHA,3.319999933242798,127750900,153126880.0
422,WHABT,8.850000381469727,2900,29540.0
423,WHART,13.100000381469727,858300,474440.0
424,WHAUP,4.579999923706055,2895300,7374340.0
425,WIIK,2.5799999237060547,2856900,4435160.0
426,WINNER,3.0199999809265137,2246700,1201320.0
427,WP,5.050000190734863,307600,337560.0
428,WPH,2.0399999618530273,300000,304920.0
429,YGG,21.299999237060547,193100,212440.0
430,YUASA,18.200000762939453,29200,52640.0
431,ZEN,12.399999618530273,125500,201660.0
